Standard Edition,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,If can be bought,,,When improved,,,,
,,,,,,,,,,,,,Cost,Rent (unimproved) ,,1 house,2 houses,3 houses,4 houses,1 hotel
Position,Space/property,,Group,Hex,Red,Green,Blue,Action,Type,Amount,Deck,,£,£,House,£,£,£,£,£
1,Go,,,,0,0,0,Collect £200,Go,200,,,0,0,0,0,0,0,0,0
2,Crapper Street,,Brown,#8B4513,0.545098039215686,0.270588235294118,0.074509803921569,,Property,0,,,60,2,50,10,30,90,160,250
3,Pot Luck,,,,0,0,0,Take card,Take Card,0,Pot Luck,,0,0,0,0,0,0,0,0
4,Gangsters Paradise,,Brown,#8B4513,0.545098039215686,0.270588235294118,0.074509803921569,,Property,0,,,60,4,50,20,60,180,320,450
5,Income Tax,,,,0,0,0,Pay £200,Tax,200,,,0,0,0,0,0,0,0,0
6,Brighton Station,,Station,#000000,0,0,0,,Station,0,,,200,25,0,50,100,200,0,0
7,Weeping Angel,,Blue,#87CEFA,0.529411764705882,0.807843137254902,0.980392156862745,,Property,0,,,100,6,50,30,90,270,400,550
8,Opportunity Knocks,,,,0,0,0,Take card,Take Card,0,Opportunity Knocks,,0,0,0,0,0,0,0,0
9,Potts Avenue,,Blue,#87CEFA,0.529411764705882,0.807843137254902,0.980392156862745,,Property,0,,,100,6,50,30,90,270,400,550
10,Nardole Drive,,Blue,#87CEFA,0.529411764705882,0.807843137254902,0.980392156862745,,Property,0,,,120,8,50,40,100,300,450,600
11,Jail/Just visiting,,,,0,0,0,,Jail,0,,,0,0,0,0,0,0,0,0
12,Skywalker Drive,,Purple,#FF00FF,1,0,1,,Property,0,,,140,10,100,50,150,450,625,750
13,Tesla Power Co,,Utilities,#555555,0.333333333333333,0.333333333333333,0.333333333333333,,Utility,0,,,150,4,0,10,0,0,0,0
14,Wookie Hole,,Purple,#FF00FF,1,0,1,,Property,0,,,140,10,100,50,150,450,625,750
15,Rey Lane,,Purple,#FF00FF,1,0,1,,Property,0,,,160,12,100,60,180,500,700,900
16,Hove Station,,Station,#000000,0,0,0,,Station,0,,,200,25,0,50,100,200,0,0
17,Cooper Drive,,Orange,#FFA500,1,0.647058823529412,0,,Property,0,,,180,14,100,70,200,550,750,950
18,Pot Luck,,,,0,0,0,Take card,Take Card,0,Pot Luck,,0,0,0,0,0,0,0,0
19,Wolowitz Street,,Orange,#FFA500,1,0.647058823529412,0,,Property,0,,,180,14,100,70,200,550,750,950
20,Penny Lane,,Orange,#FFA500,1,0.647058823529412,0,,Property,0,,,200,16,100,80,220,600,800,1000
21,Free Parking,,,,0,0,0,Collect fines,Free Parking,0,,,0,0,0,0,0,0,0,0
22,Yue Fei Square,,Red,#FF0000,1,0,0,,Property,0,,,220,18,150,90,250,700,875,1050
23,Opportunity Knocks,,,,0,0,0,Take card,Take Card,0,Opportunity Knocks,,0,0,0,0,0,0,0,0
24,Mulan Rouge,,Red,#FF0000,1,0,0,,Property,0,,,220,18,150,90,250,700,875,1050
25,Han Xin Gardens,,Red,#FF0000,1,0,0,,Property,0,,,240,20,150,100,300,750,925,1100
26,Falmer Station,,Station,#000000,0,0,0,,Station,0,,,200,25,0,50,100,200,0,0
27,Kirk Close,,Yellow,#FFFF00,1,1,0,,Property,0,,,260,22,150,110,330,800,975,1150
28,Picard Avenue,,Yellow,#FFFF00,1,1,0,,Property,0,,,260,22,150,110,330,800,975,1150
29,Edison Water,,Utilities,#555555,0.333333333333333,0.333333333333333,0.333333333333333,,Utility,0,,,150,4,0,10,0,0,0,0
30,Crusher Creek,,Yellow,#FFFF00,1,1,0,,Property,0,,,280,22,150,120,360,850,1025,1200
31,Go to Jail,,Go to jail,,0,0,0,,Go To Jail,0,,,0,0,0,0,0,0,0,0
32,Sirat Mews,,Green,#008000,0,0.501960784313726,0,,Property,0,,,300,26,200,130,390,900,1100,1275
33,Ghengis Crescent,,Green,#008000,0,0.501960784313726,0,,Property,0,,,300,26,200,130,390,900,1100,1275
34,Pot Luck,,,,0,0,0,Take card,Take Card,0,Pot Luck,,0,0,0,0,0,0,0,0
35,Ibis Close,,Green,#008000,0,0.501960784313726,0,,Property,0,,,320,28,200,150,450,1000,1200,1400
36,Lewes Station,,Station,#000000,0,0,0,,Station,0,,,200,25,0,50,100,200,0,0
37,Opportunity Knocks,,Take card,,0,0,0,,Take Card,0,Opportunity Knocks,,0,0,0,0,0,0,0,0
38,Hawking Way,,Deep blue,#00008B,0,0,0.545098039215686,,Property,0,,,350,35,200,175,500,1100,1300,1500
39,Super Tax,,,,0,0,0,Pay £100,Tax,100,,,0,0,0,0,0,0,0,0
40,Turing Heights,,Deep blue,#00008B,0,0,0.545098039215686,,Property,0,,,400,50,200,200,600,1400,1700,2000
,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,House and hotel costs,,,,,,,
"If one utility is owned by a player, rent is 4 times value shown on dice.",,,,,,,,,,,,,Set,,House,Hotel,,,,
"If both utilities are owned by a player, rent is 10 time value shown on dice.",,,,,,,,,,,,,"Brown, Blue",,£50,£50 + 4 houses,,,,
"If player owns 1 station, rent is £25",,,,,,,,,,,,,"Purple, Orange",,£100,£100 + 4 houses,,,,
"If player owns 2 stations, rent is £50",,,,,,,,,,,,,"Red, Yellow",,£150,£150 + 4 houses,,,,
"If player owns 3 stations, rent is £100",,,,,,,,,,,,,"Green, Deep blue",,£200,£200 + 4 houses,,,,
"If player owns 4 stations, rent is £200",,,,,,,,,,,,,,,,,,,,
Income Tax and Super Tax fines are paid to the bank,,,,,,,,,,,,,,,,,,,,
